rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Blocked H1s,URGENT,Homepage,Medium,2-5 days,5,10,no,trust,"Multiple H1s display 'www.allbirds.com is blocked' due to bot detection, undermining trust and confusing users.","Multiple H1s display 'www.allbirds.com is blocked' due to bot detection, undermining trust and confusing users.",h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Fix the technical issue causing the 'blocked' text. Ensure only one H1 per page and that it clearly communicates the value proposition.,"Multiple H1s: 'Wildly Comfortable. Super Natural.', 'www.allbirds.com is blocked' (repeated 4 times). This indicates a technical issue where the page is blocked or not rendering properly, leading to duplicate H1s. | H1s include 'www.allbirds.com is blocked' repeated 4 times; body sample shows 'Due to increased demand, orders may take up to 30 days to ship.'","Message Clarity, Trust & Objection, Nav & Distraction",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_blocked_h1s.html
2,30-Day Shipping Warning,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,The prominent 'orders may take up to 30 days to ship' warning creates a major objection that could deter immediate purchases.,The prominent 'orders may take up to 30 days to ship' warning creates a major objection that could deter immediate purchases.,h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Soften the message: 'Free shipping on orders over $100' and add a trust element like 'Ships within 30 days' or a progress indicator.,"Body sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_2_30_day_shipping_warning.html
3,Redundant Hero CTAs,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,Multiple 'Shop' CTAs in the hero section and navigation dilute the primary user path and create decision fatigue.,Multiple 'Shop' CTAs in the hero section and navigation dilute the primary user path and create decision fatigue.,"h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Consolidate primary 'Shop' CTAs to a single, clear option (e.g., 'Shop All' or distinct 'Shop Men' and 'Shop Women' if they lead to different hero experiences). Remove redundant 'Shop' links from the main hero area to streamline the user's choice.","The 'ctas' array for '/' contains 'Shop All', 'Shop Womens', 'Shop Mens', 'SHOP MEN', 'SHOP WOMEN'. | The primary H1 is 'Wildly Comfortable. Super Natural.'.",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_redundant_hero_ctas.html
4,Vague hero copy,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero H1 'Wildly Comfortable. Super Natural.' is a brand slogan that doesn't communicate product benefits or address visitor intent, causing confusion and reducing conversion.","The hero H1 'Wildly Comfortable. Super Natural.' is a brand slogan that doesn't communicate product benefits or address visitor intent, causing confusion and reducing conversion.","h1: Comfortable Shoes, Naturally Made; cta: Shop Men's Shoes; notes: Make the product category explicit and lead with a key benefit (comfort) and differentiator (natural materials). Use a more specific CTA to guide visitors.",H1: 'Wildly Comfortable. Super Natural.'; CTA: 'Shop All',Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_vague_hero_copy.html
5,Free shipping threshold hidden,HIGH,Homepage,Medium,2-5 days,5,10,no,trust,"The homepage hero promotes 'Free ground shipping' without disclosing the $100 minimum order, creating an expectation gap that may lead to cart abandonment or distrust at checkout.","The homepage hero promotes 'Free ground shipping' without disclosing the $100 minimum order, creating an expectation gap that may lead to cart abandonment or distrust at checkout.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100.; cta: Shop All; notes: Include the threshold in the hero or near the CTA to set accurate expectations.,"Body sample: 'Free ground shipping on orders over $100' appears in the body text, but the hero H1s and CTAs ('Shop All', 'Shop Womens', 'Shop Mens') do not mention the threshold.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_free_shipping_threshold_hidden.html
6,Mega-menu choice overload,HIGH,Navigation,Low,0.5-2 days,5,10,no,traffic,"The mega-menu presents 20+ items per category, overwhelming users and increasing cognitive load, which can lead to decision paralysis and reduced click-through.","The mega-menu presents 20+ items per category, overwhelming users and increasing cognitive load, which can lead to decision paralysis and reduced click-through.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Reduce menu items to top 5-7 per category, group under clear headings, and use visual hierarchy to guide users.","Nav items list includes 20+ entries such as 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_mega_menu_choice_overload.html
7,Multiple H1s dilute focus,HIGH,Homepage,Low,0.5-2 days,5,10,no,traffic,"The homepage has 7 H1 tags, including 'www.allbirds.com is blocked' repeated, which confuses both users and search engines, diluting the primary message and harming SEO.","The homepage has 7 H1 tags, including 'www.allbirds.com is blocked' repeated, which confuses both users and search engines, diluting the primary message and harming SEO.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Ensure only one H1 per page, remove error text from H1s, and use H2s for subheadings.",h1s array includes 'Wildly Comfortable. Super Natural.' and four instances of 'www.allbirds.com is blocked'.,Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_multiple_h1s_dilute_focus.html
8,Missing Add-to-Cart CTA,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page for 'Anytime Ankle Sock' lacks an explicit 'Add to Cart' or 'Buy Now' call to action, preventing direct purchase.","The product page for 'Anytime Ankle Sock' lacks an explicit 'Add to Cart' or 'Buy Now' call to action, preventing direct purchase.",h1: Anytime Ankle Sock; cta: Add to Cart; notes: Implement a clear and prominent 'Add to Cart' or 'Buy Now' button on the product page to facilitate immediate purchase.,"The 'ctas' array for '/products/anytime-ankle-sock' includes 'Shop All', 'Shop Womens', 'Shop Mens', 'Shop Socks', 'Shop Women's Sale', 'Shop Men's Sale', 'Learn More', 'Sign Up', 'Shop + -', but does not include 'Add to Cart' or 'Buy Now'.",Funnel-Path & Commerce Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_8_missing_add_to_cart_cta.html
9,No responsive viewport,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Without a viewport meta tag mobile browsers render the desktop layout scaled down, making every tap target too small.","Without a viewport meta tag mobile browsers render the desktop layout scaled down, making every tap target too small.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_9_no_responsive_viewport.html
10,Shipping delay not prominent,HIGH,Product Page,Medium,2-5 days,4,10,no,trust,"The product page for the Anytime Ankle Sock does not prominently display the 'up to 30 days to ship' notice, which is only in the sitewide body text, potentially causing expectation mismatch and support inquiries.","The product page for the Anytime Ankle Sock does not prominently display the 'up to 30 days to ship' notice, which is only in the sitewide body text, potentially causing expectation mismatch and support inquiries.",h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a shipping delay notice near the price or add-to-cart button.,"Body sample from homepage: 'Due to increased demand, orders may take up to 30 days to ship.' This is not visible in the product page's H1s, CTAs, or visible copy.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_shipping_delay_not_prominent.html
